产品分类,产品名称,被抽样企业名称,通报单位,抽检结果,通报时间,通报文号,规格,商标,生产企业名称,生产企业地址,被抽样企业名称,被抽样企业地址,通报单位,生产省份,通报时间,不合格原因,检测结果,标准/法规限值,措施,判定结果,备注,伙伴网链接,抽检层级,网站
调味品-->酱油,海鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/瓶,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475945
调味品-->酱油,铁强化酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475944
调味品-->酱油,一品鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475943
调味品-->酱油,纯酿酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475942
调味品-->酱油,味美思味极鲜特级酿造酱油,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,味美思,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475915
调味品-->酱油,正阳河酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475946
调味品-->酱油,原汁酱油,,黑龙江市场监管局,合格,2015-02-04,,1L/瓶,方友,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475916
调味品-->酱油,黄豆酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,海天,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475919
调味品-->酱油,黄豆酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,六必居,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475918
调味品-->酱油,松城特鲜酱油,,黑龙江市场监管局,合格,2015-02-04,,450ml/瓶,松城,牡丹江松城调味品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475934
调味品-->酱油,365高鲜头道酱油,,黑龙江市场监管局,合格,2015-02-04,,250ml/瓶,海天,,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475917
调味品-->酱油,头道老酱油,,黑龙江市场监管局,合格,2015-02-04,,450ml/瓶,松城,牡丹江松城调味品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475936
调味品-->酱油,黄豆酿造酱油,,黑龙江市场监管局,合格,2015-02-04,,350ml/袋,麒瑞,佳木斯市瑞德食品酿造厂,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475937
调味品-->酱油,松城酿造酱油,,黑龙江市场监管局,合格,2015-02-04,,310±10ml,松城,牡丹江松城调味品有限公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475935
调味品-->酱油,佐餐酱油,,黑龙江市场监管局,合格,2015-02-04,,351ml/袋,麒瑞,佳木斯市瑞德食品酿造厂,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475938
调味品-->酱油,老酱油,,黑龙江市场监管局,合格,2015-02-04,,351ml/袋,调亨,佳木斯市调亨食品酿造公司,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475939
调味品-->酱油,正阳河酱油二级,,黑龙江市场监管局,合格,2015-02-04,,500ml/瓶,正阳河,哈尔滨正阳河调味食品,,,,黑龙江市场监管局,,2015-02-04,,,,,合格,,,省抽,http://db.foodmate.net/choujian/gncj_show.php?id=475940
